,precision,recall,f1-score,support
apoyo,1.0,0.0,0.0,4.0
competencia,0.3142857142857143,0.7857142857142857,0.44897959183673464,14.0
construccion,1.0,0.0,0.0,3.0
corrupcion,1.0,0.0,0.0,3.0
economia,1.0,0.0,0.0,3.0
exterior,1.0,0.2857142857142857,0.4444444444444445,7.0
historia,1.0,0.0,0.0,2.0
opinion,0.18181818181818182,0.2222222222222222,0.19999999999999998,9.0
salud,1.0,0.0,0.0,1.0
seguridad,1.0,0.0,0.0,2.0
accuracy,0.3125,0.3125,0.3125,0.3125
macro avg,0.8496103896103897,0.12936507936507935,0.10934240362811791,48.0
weighted avg,0.6465909090909091,0.3125,0.23326719576719576,48.0
