index,Texto,classification_spanish,Clasificacion,new_classification
20414,"Ha sido muy importante, mucho muy importante todo el procedimiento, eso sí, porque yo, por ejemplo, recomendé que no se debatiera porque lo iban a utilizar nuestros adversarios, los conservadores y sus medios de manipulación, como los conozco bien… ‘Te conozco bacalao, aunque vengas disfrazado’.",competencia,,Opposition
3599," ¿Qué espero del jurado? Vamos a esperar. No quiero hacer ningún pronóstico, pero no voy a dejar el tema, o sea, no nos vamos a callar.",competencia,,Opposition
19552,"Es muy distinto lo de nuestro movimiento. Aquí en nuestro movimiento, ya estamos hablando de este asunto, estamos hablando de quién va a coordinar el movimiento de transformación, aquí no hay interés personal o de grupo que esté por encima del interés general, del interés del pueblo; no hay, no hay cabida para ambiciosos vulgares, aquí se lucha por ideales, por principios.",competencia,,Opposition
12486,"Y sí es un plazo de un mes, ojalá y recapaciten porque sería muy bueno el que regresara Mexicana y que se entregara de manera equitativa, lo que vale, de acuerdo al estudio que se hizo, la marca a cada uno de los trabajadores.",competencia,,Opposition
6988,"Entonces, llega él con la bandera del cambio y no hace nada para romper ese esquema que le hubiese permitido llevar al país a condiciones de progreso con justicia. Pero a ver si encuentran eso, es una entrevista de uno de los que interactúan en las redes, en donde dice el presidente Fox que no hay margen, dice: ‘Voy a llegar y ya está comprometido el presupuesto en sueldos, lo que hay que pagar de administración, lo que hay que pagar de deuda, el servicio de la deuda, entonces ya no nos queda nada’.",competencia,,Opposition
16113,"Bueno, por eso es que ofrecemos disculpas, por las molestias que causa este movimiento de transformación, pero ya basta de mentir, de robar, de engañar.",competencia,,Opposition
16861,"Lo importante es que ya no decida Narro. Porque dicen ‘Somos autónomos’; sí, es como los candidatos independientes, son independientes del pueblo, no del poder.",competencia,,Opposition
17166," Sí. No, no, no, es que hay muchísimas, es que durante todo el periodo neoliberal, para evitar que nos ocupáramos todos de defender los recursos naturales de las naciones, para evitar que nos diéramos cuenta de que nos estaban saqueando, de que una minoría se hacía cada vez más rica a costa del sufrimiento de la mayoría de los pueblos, para evitar que nos diéramos cuenta de que se profundizaba la desigualdad social en el mundo, que hay mil millones de seres humanos, de que viven con menos de un dólar diario, que eso no lo ve la ONU, para evitar todo eso, la acumulación de capital en unas cuantas manos, como nunca en la historia, crearon las llamadas nuevas políticas públicas y así surgieron las organizaciones no gubernamentales como hongos después de la lluvia.",competencia,,Opposition
12642," Allá en Quintana Roo, pero eso es otro asunto, de Punta Allen. Pero es el colmo, pues.",competencia,,Opposition
6936,"Entonces, ahora con los libros, que antes los hacían empresas editoriales de España, nuestros libros, porque era uno de los negocios más en relación con los intelectuales orgánicos, Aguilar Camín, Krauze, ahora también eso, es campaña en contra.",competencia,,Opposition
7039,"Como se diría coloquialmente, aunque no les guste a los que quieren una sola habla, un solo lenguaje, aunque no les guste, les digo: ¿Dónde lo van a agarrar?",competencia,,Opposition
6818," Pues es muy acorde con lo que él representa, lo que significa: un representante de la oligarquía de México, un personaje antidemocrático, de la élite política del país.",competencia,,Opposition
20172,"A uno de ellos que tenía mucho interés —tampoco lo voy a mencionar— porque estaba muy echado para adelante y todo, no aguantó ni el primer apretón.",competencia,,Opposition
19693,"Y lo mismo en el tema migratorio, también se ha avanzado, poco a poco, pero se va avanzando. Estamos reconociendo que el presidente Biden es el primer presidente de los últimos tiempos que no hace muro; todos los demás, republicanos o demócratas, hacían su tramo de muro, también por publicidad.",competencia,,Opposition
2082,"Era normal el que alguien de venir de una escuela pública terminara en una universidad en el extranjero, pero, además de vivir en una unidad habitacional o en una casa de interés popular o medio, acabara en una residencia en Las Lomas o en departamentos de gran lujo en México, en el extranjero.",competencia,,Opposition
4888," Pero ahí estás en contra. Por eso estás en contra, porque estas sosteniendo de que se pierden derechos de los ciudadanos, y no es así, pero se gana muchísimo.",competencia,,Opposition
68," No, nada absolutamente, no le corresponde, tendrían que modificar la Constitución y eso lo tendría que hacer el bloque conservador en el Congreso, y para eso también se requiere tener mayoría y no la tienen; o sea, tienen mayoría para bloquear, pero no para cambiar las leyes.",competencia,competencia,Opposition
4303,"México va a seguir apoyando al presidente injusta e ilegalmente destituido, y vamos a seguir demandando que se le libere. No puede estar en la cárcel, es una gran injusticia.",competencia,,Opposition
14327,"Y en ese entonces Fox, con el apoyo de todos los ministros de la corte, empezando por el presidente Azuela, y todo el aparato, más el PRI y el PAN, desde luego sus jefes, me desaforaron, llevaron a cabo una sesión en el Congreso y me desaforaron, nada más que la gente salió a las calles y el pueblo me sacó adelante, porque el pueblo es mucha pieza, y tuvieron que dar marcha atrás.",competencia,,Opposition
15339,"Pero, cómo será el poder de Diego, o sea, su capacidad de intermediación, de representación de todos esos intereses, ¿no?, para que en esa fiesta se sienten en la misma mesa Salinas, perdón, Roberto Hernández y Carlos Slim. Yo cuando vi eso, ¡ay!, en la fiesta y en la misma mesa. Y, bueno, había hasta líderes de oposición.",competencia,,Opposition
4624,"Me hizo una entrevista hace 35 años en Villahermosa en una estación, 1988, sí, tiene como 35 años. ¿Y qué creen que hizo? La grabó. Y como hablé de la democracia, no la transmitió, la enlató. Seguramente fue a negociar con mi entrevista, porque yo desde hace tiempo me he convertido en una fuente de ingresos para muchos mercenarios de los medios de comunicación, les pagan por atacarme, ya hasta deberían hacer un fondo ahí, reconociendo que les pagan por eso.",competencia,,Opposition
3503,"Porque el abogado este, falsario y difamador, calumniador, dijo que dónde estaba dinero, Y además me llamó mucho la atención, decir: ‘A ver, no se busque el dinero nada más mientras fue secretario de Seguridad’.",competencia,,Opposition
2184," Pues que están en su derecho de manifestarse, de agruparse, y están en contra de nosotros, de la transformación del país, de lo que estamos nosotros llevando a cabo con millones de mexicanos, pero están en todo su derecho de expresarse, de manifestarse; nosotros estamos obligados a garantizar el derecho a disentir. Eso es lo que puedo comentar. Y la gente, los ciudadanos, pues son los que al final deciden, siempre es así en la democracia, ¿no?",competencia,,Opposition
21497, Es que me ayudan mucho mis adversarios. Imagínense que la señora dice que va a privatizar Pemex.,competencia,,Opposition
16461,"Pues los del PAN votaron en contra, pero se dieron cuenta de que habían cometido un error porque habían actuado de manera sincera, dando a conocer su forma de pensar. Entonces, pasa al Senado y ya no, se dan cuenta y dicen: ‘No, votamos también a favor’, ahí ya votaron distinto, porque alguien les dijo, seguramente sus publicistas: ¡Cómo vas a votar en contra de que se le entregue la pensión a los adultos mayores! Pues votaron en contra los diputados, pero ya en el Senado no.",competencia,,Opposition
3836,"Esto que ayer se vio en Tamaulipas, digo, no quiere decir que así va a ser el 24, porque va a participar más gente, pero es muy bueno que se pongan de acuerdo, y lo que planteó Calderón, que se organicen, que se reagrupen, que definan si va a ser Claudio el dirigente o quién, que definan cómo van a elegir al candidato del bloque conservador, porque hay como 50.",competencia,,Opposition
21253,"A mí me entregan el presupuesto del Poder Judicial y como me lo entregan, así igual se envía a la Cámara de Diputados, porque deben de saber los abogados que es facultad exclusiva de la Cámara de Diputados aprobar el presupuesto. Ahora sí que, como diría el clásico del conservadurismo, ¿y yo por qué?",competencia,,Opposition
10005,"Por eso, aun cuando nos estén atacando un día sí y el otro también, no, no hacen mella. Y están desesperados y cada vez son más groseros, difaman más, le apuestan a la calumnia y a la máxima de que la calumnia, cuando no mancha, tizna. Y así están, desesperados.",competencia,,Opposition
19689,"Segundo, y es lo más importante, lo que dije, somos independientes. ¡Cómo va a amenazar!",competencia,,Opposition
7218,"Entonces, nos fueron manipulando hasta llegar: ‘¿por qué le entregas un apoyo a un joven si ese es nini, nada más hay que tratarlo así, en forma despectiva, discriminatoria, ni estudia, ni trabaja, ja, ja, ja’.",competencia,,Opposition
19391,"Y en la carta que le envía Lucas Alamán le dice: ‘Venga y no se preocupe, hombre, porque nosotros manejamos la opinión general ―antes no se hablaba de opinión pública―, la opinión general en México, porque tenemos el control o somos los dueños de los principales periódicos del país’. Así controlaban. Y sí regresó Santa Anna y lo vitorearon en todo el camino, desde Veracruz hasta la Ciudad de México. Y luego hundió más al país.",competencia,,Opposition
11270,"Esto tiene que ver también mucho con el hecho que no querían que el gobierno actuara en nada, el gobierno no estaba destinado a servir al pueblo.",competencia,,Opposition
2614," Pues es que está muy complicado, muy enredado su planteamiento, siendo tan sencillo. Ellos todo lo que hagamos les parece mal, porque todas estas agencias estaban involucradas en la construcción del aeropuerto de Texcoco y nunca han aceptado la decisión que se tomó de construir el Aeropuerto ‘Felipe Ángeles’. Además, ellos mandaban y mandaban los dueños de las líneas aéreas, y lo peor: mandaba ‘el Mayo’.",competencia,,Opposition
6461,"El problema que tienen, con todo respeto, en Estados Unidos es que hay una grave descomposición social, muchísimo individualismo y falta de integración en las familias. No es cuestionarlos, pero, imagínense, los hijos van creciendo allá y los padres ya quieren que se vayan de la casa. Aquí hasta abusan, no se quieren ir y ahí están, y las familias juntas, que es una institución de seguridad social fundamental. Entonces nosotros tenemos que fortalecer eso.",competencia,,Opposition
5736," Es que nosotros tenemos una alianza con el pueblo, no tenemos ningún problema, no hay diferencias con la gente. Hay un sector, una élite que defiende al antiguo régimen de corrupción, de injusticias, de privilegios que son los que no están conformes, pero esto también es normal, ¿para qué querer que todos pensemos de la misma manera?, eso no es democracia.",competencia,,Opposition
18622,"Pero ahora hay otra lámina, que está en uno de mis libros, sobre cómo en la época de Salinas…Es como muy parecido a lo de Calderón en desigualdad, ahora lo van a ver, esto del Banco Mundial y de otro organismo, la OCDE.",competencia,,Opposition
13188,"Y desde antes Iberdrola, que se llevó a Calderón hasta de consejero; después de que terminó, Calderón se fue a trabajar a Iberdrola de consejero. Y Zedillo se fue a trabajar con una empresa ferroviaria a la que le entregó los Ferrocarriles Nacionales. Así era.",competencia,,Opposition
10334,"Ahora, me llamó la atención, hice un comentario aquí acerca de un dirigente preso en Guatemala, y una candidata hija del expresidente y militar, Ríos Montt, me contestó de manera muy agresiva, si yo lo único que planteé es que familiares de este dirigente preso vinieron a pedirnos que si podíamos nosotros ayudarlo por cuestiones humanitarias porque está enfermo.",competencia,,Opposition
17814,"Si ellos eran los que la promovieron, la destaparon. Ya cuando dije que iba a ser Xóchitl decían que era ya un fenómeno y que, sí, que ya había cambiado todo, incluso sacaron una encuesta, ¿se acuerdan, de Ciro, de que ya estaba…?",competencia,,Opposition
