Texto,classification_spanish
"Quiero decir que tenemos muy buena relación con el gobierno del Estado de México, que consideramos que está funcionando bien la fiscalía del Estado de México, y un ejemplo reciente es que se revisó el caso de una persona que atropelló a un peatón, un trabajador de la calle, alguien que se buscaba la vida vendiendo tamales y que se le había dado la libertad. Y se planteó aquí, y le agradecemos mucho al gobierno del Estado de México, a la fiscalía, que retomaron el caso y se volvió a detener a esta persona. Porque fue muy comentado, hablándose de influyentismo, y ya hemos llegado a la conclusión, y así lo demuestran los hechos, que no se permite el influyentismo ni en el gobierno federal y en este caso en gobiernos estatales, como quedó demostrado en el caso del gobierno del Estado de México. Por eso mi reconocimiento a lo que hicieron.",opinion
"Porque tenemos todo ese bagaje, todo ese legado que nos guía. Y por eso tenemos un pueblo excepcional, un pueblo bueno, un pueblo fraterno, solidario, trabajador.",opinion
"No. Sí, en la mayoría de los pueblos del mundo hay humanismo, hay fraternidad, pero lo nuestro es algo excepcional, el humanismo mexicano.",opinion
"Me hablaste del bien común, le digo. Busca el origen del término, cómo se aplica en México. Y para qué te respondo, mejor sigue tu camino, ya no es posible que tu cambies ni yo voy a cambiar mi manera de pensar. Y lo único que me faltó fue decirle: Si tienes hijos, pues sí les daría yo tiempo para explicarle cosas a tus hijos.",opinion
"Y sí le dije a la gente humilde, a la gente que le cuesta más trabajo obtener información, les dedico mucho tiempo, pero ya en tu caso para qué pierdo el tiempo, mejor vamos a respetarnos, no nos vamos a entender, son dos pensamientos completamente distintos.",opinion
"Que como si hubiesen dado cuenta los del avión, cuando ya aterrizamos, un aplauso. Claro, venía yo de mi estado, no fue una encuesta tan objetiva, estaba un poco, no cuchareada, sino jicareada.",opinion
"‘Los estragos del más gobierno de Morena se hacen más evidentes’. Eso es lo que él apuesta, a que los estragos, todo el mal que ha hecho el gobierno se haga más evidente. Pues esto va a servir porque ya está anunciando que va a arreciar la guerra sucia, ¿no?",opinion
"‘Y las divisiones a su interior más marcadas’, o sea, apostando a que va a haber ruptura, también seguramente ya tienen un plan sobre eso.",opinion
"‘Tres, la sociedad marca pauta’ —la sociedad. A ver, politólogos, sociólogos, ¿qué es la sociedad?, ¿qué no es pueblo? Es la sociedad.",opinion
"‘Marca pauta’. Porque la sociedad somos todos, desde el punto de vista conceptual somos todos, pobres, ricos, somos sociedad, pero aquí la sociedad tiene que ver con la élite. Porque si se usara, por ejemplo, ‘la ciudadanía’, es más igualitario, porque el ciudadano es todo aquel que después de 18 años tiene derechos y tiene obligaciones, de acuerdo a la Constitución, somos todos los mexicanos, pero ‘la sociedad’, la connotación, es elitista; aunque desde el punto de vista teórico la sociedad somos también todos, pero la connotación para un conservador es que la sociedad es una élite.",opinion
"Y en la parte política, que sigamos avanzando en la revolución de las consciencias, en la politización, que no es polarización, para defender el proyecto de transformación y que nunca más regrese una forma de gobierno autoritaria y corrupta. Eso en lo político.",opinion
Y lograr todo esto por la vía democrática y con el respeto absoluto a las libertades.,opinion
