,precision,recall,f1-score,support
apoyo,0.49034749034749037,0.3489010989010989,0.4077046548956661,364.0
competencia,0.34564643799472294,0.5712209302325582,0.43068493150684933,688.0
construccion,0.5850144092219021,0.6207951070336392,0.6023738872403561,327.0
corrupcion,0.5765765765765766,0.19937694704049844,0.2962962962962963,321.0
economia,0.5932203389830508,0.41420118343195267,0.4878048780487804,169.0
exterior,0.6195652173913043,0.2676056338028169,0.37377049180327865,213.0
historia,0.6666666666666666,0.10650887573964497,0.1836734693877551,169.0
opinion,0.39118198874296434,0.5325670498084292,0.45105462412114655,783.0
salud,0.7037037037037037,0.1958762886597938,0.3064516129032258,97.0
seguridad,0.56,0.328125,0.4137931034482759,128.0
accuracy,0.4326480515495551,0.4326480515495551,0.4326480515495551,0.4326480515495551
macro avg,0.5531922829628382,0.35851781146504325,0.3953607949651631,3259.0
weighted avg,0.4859757841140378,0.4326480515495551,0.41907430173309757,3259.0
