,precision,recall,f1-score,support
apoyo,0.3769968051118211,0.4354243542435424,0.4041095890410959,271.0
competencia,0.3064516129032258,0.3505535055350554,0.32702237521514627,271.0
construccion,0.6068111455108359,0.6511627906976745,0.6282051282051281,301.0
corrupcion,0.5569620253164557,0.3142857142857143,0.4018264840182649,280.0
economia,0.5390070921985816,0.6608695652173913,0.5937499999999999,230.0
exterior,0.5833333333333334,0.5464684014869888,0.564299424184261,269.0
historia,0.7777777777777778,0.35195530726256985,0.4846153846153847,179.0
opinion,0.3398876404494382,0.4548872180451128,0.3890675241157556,266.0
salud,0.6181818181818182,0.4594594594594595,0.5271317829457365,74.0
seguridad,0.5560165975103735,0.5826086956521739,0.5690021231422505,230.0
accuracy,0.4841838886545761,0.4841838886545761,0.4841838886545761,0.4841838886545761
macro avg,0.5261425848293662,0.48076750118856826,0.4889029815483023,2371.0
weighted avg,0.509474461238465,0.4841838886545761,0.4842738599981073,2371.0
