,precision,recall,f1-score,support
0,0.46756756756756757,0.48055555555555557,0.473972602739726,360.0
1,0.37748344370860926,0.31666666666666665,0.34441087613293053,360.0
2,0.5613305613305614,0.75,0.6420927467300832,360.0
3,0.44525547445255476,0.5083333333333333,0.47470817120622566,360.0
4,0.5246753246753246,0.637223974763407,0.5754985754985755,317.0
5,0.5763239875389408,0.5138888888888888,0.5433186490455212,360.0
6,0.5576036866359447,0.4898785425101215,0.521551724137931,247.0
7,0.4253968253968254,0.37222222222222223,0.397037037037037,360.0
8,0.6619718309859155,0.4017094017094017,0.5000000000000001,117.0
9,0.6180555555555556,0.55625,0.5855263157894737,320.0
accuracy,0.5083834229674153,0.5083834229674153,0.5083834229674153,0.5083834229674153
macro avg,0.5215664257847799,0.5026728585649598,0.5058116698317503,3161.0
weighted avg,0.5082212907695374,0.5083834229674153,0.5037390620653899,3161.0
