,precision,recall,f1-score,support
apoyo,0.48314606741573035,0.5657894736842105,0.5212121212121212,76.0
competencia,0.31958762886597936,0.34065934065934067,0.3297872340425532,91.0
construccion,0.7777777777777778,0.7777777777777778,0.7777777777777778,99.0
corrupcion,0.5471698113207547,0.5370370370370371,0.5420560747663552,108.0
economia,0.6875,0.717391304347826,0.702127659574468,92.0
exterior,0.6666666666666666,0.6521739130434783,0.6593406593406593,92.0
historia,0.7105263157894737,0.4426229508196721,0.5454545454545454,61.0
opinion,0.35,0.4268292682926829,0.3846153846153846,82.0
salud,0.6666666666666666,0.42105263157894735,0.5161290322580646,19.0
seguridad,0.71875,0.647887323943662,0.6814814814814815,71.0
accuracy,0.5701643489254109,0.5701643489254109,0.5701643489254109,0.5701643489254109
macro avg,0.5927790934503049,0.5529221021184634,0.5659981970523411,791.0
weighted avg,0.5843480028270531,0.5701643489254109,0.5732272143289873,791.0
