,precision,recall,f1-score,support
apoyo,0.4658385093167702,0.41208791208791207,0.4373177842565597,364.0
competencia,0.4040047114252061,0.498546511627907,0.44632400780741704,688.0
construccion,0.6283185840707964,0.6513761467889908,0.6396396396396395,327.0
corrupcion,0.5222672064777328,0.40186915887850466,0.454225352112676,321.0
economia,0.5974025974025974,0.5443786982248521,0.5696594427244581,169.0
exterior,0.5733333333333334,0.40375586854460094,0.47382920110192844,213.0
historia,0.5625,0.31952662721893493,0.4075471698113207,169.0
opinion,0.43651626442812175,0.5312899106002554,0.47926267281105994,783.0
salud,0.7045454545454546,0.31958762886597936,0.43971631205673756,97.0
seguridad,0.5619047619047619,0.4609375,0.5064377682403434,128.0
accuracy,0.48266339367904265,0.48266339367904265,0.48266339367904265,0.48266339367904265
macro avg,0.5456631422904774,0.4543355962837937,0.4853959350562141,3259.0
weighted avg,0.49733933775554634,0.48266339367904265,0.48175385633624007,3259.0
