,precision,recall,f1-score,support
apoyo,0.5145631067961165,0.53,0.5221674876847291,100.0
competencia,0.45,0.41379310344827586,0.4311377245508982,87.0
construccion,0.6285714285714286,0.7333333333333333,0.6769230769230768,90.0
corrupcion,0.5402298850574713,0.5529411764705883,0.5465116279069768,85.0
economia,0.5842696629213483,0.6666666666666666,0.622754491017964,78.0
exterior,0.5918367346938775,0.5858585858585859,0.5888324873096447,99.0
historia,0.5517241379310345,0.5161290322580645,0.5333333333333333,62.0
opinion,0.40540540540540543,0.3614457831325301,0.38216560509554137,83.0
salud,0.6333333333333333,0.6333333333333333,0.6333333333333333,30.0
seguridad,0.6268656716417911,0.5454545454545454,0.5833333333333334,77.0
accuracy,0.549936788874842,0.549936788874842,0.549936788874842,0.549936788874842
macro avg,0.5526799366351807,0.5538955559955923,0.5520492500488831,791.0
weighted avg,0.5466325560559735,0.549936788874842,0.5469970179505567,791.0
