,precision,recall,f1-score,support
apoyo,0.2826603325415677,0.3269230769230769,0.30318471337579617,364.0
competencia,0.29573590096286106,0.3125,0.303886925795053,688.0
construccion,0.41304347826086957,0.4648318042813456,0.437410071942446,327.0
corrupcion,0.2881944444444444,0.2585669781931464,0.27257799671592775,321.0
economia,0.3387096774193548,0.3727810650887574,0.3549295774647887,169.0
exterior,0.32335329341317365,0.2535211267605634,0.28421052631578947,213.0
historia,0.31297709923664124,0.24260355029585798,0.2733333333333333,169.0
opinion,0.3469656992084433,0.33588761174968074,0.34133679428942243,783.0
oposicion,0.0,0.0,0.0,0.0
salud,0.4305555555555556,0.31958762886597936,0.36686390532544383,97.0
seguridad,0.3142857142857143,0.34375,0.3283582089552239,128.0
accuracy,0.32678735808530224,0.32678735808530224,0.32678735808530224,0.32678735808530224
macro avg,0.3042255632116932,0.2937229856507644,0.2969174594102931,3259.0
weighted avg,0.3272802131068091,0.32678735808530224,0.3257317289378273,3259.0
